trial_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,table1_oid,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
2,4.81E-06,1.63572E+18,Gaia DR2 511239410478024192,5.11239E+17,843534596,2015.5,26.32510642,0.020193919,61.11568734,0.023052757,0.316849482,0.033665595,9.41167,1,MWC,428,26.325104,61.115692,-5.05,1.57,2,8.602,0.196,0.209,...,...,Saturated
12,1.13E-05,1.63572E+18,Gaia DR2 511217832553148032,5.11218E+17,889091406,2015.5,26.64805934,0.02063589,61.26328292,0.026522328,0.273711995,0.036218294,7.557286,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
14,1.44E-05,1.63572E+18,Gaia DR2 511216904848319104,5.11217E+17,287383583,2015.5,26.61275368,0.017882444,61.16719748,0.021551701,0.402407881,0.029280463,13.743221,3,MWC,700,26.612782,61.167202,-5.76,1.39,2,8.987,0.144,0.015,...,...,Saturated
17,6.72E-06,1.63572E+18,Gaia DR2 511193334066395904,5.11193E+17,342261154,2015.5,26.61184604,0.019520837,61.12825289,0.022392311,0.327863041,0.031332011,10.464155,4,VES,619,26.611837,61.128258,-5.26,2.14,2,9.229,0.221,0.337,...,...,Saturated
24,7.56E-06,1.63572E+18,Gaia DR2 511217282805392640,5.11217E+17,143348797,2015.5,26.61528928,0.017447204,61.20706568,0.02195815,0.362374184,0.031780028,11.4025755,5,BG,15,26.615303,61.207062,-6.65,4.92,2,9.251,0.201,0.148,...,...,Saturated
25,1.40E-05,1.63572E+18,Gaia DR2 511264183850593792,5.11264E+17,1379267616,2015.5,26.49712248,0.019157447,61.21267233,0.022989454,0.337936007,0.030937848,10.923061,6,MWC,698,26.49711,61.212685,-3.69,-6.16,2.89,9.425,0.148,0.109,...,...,Saturated
30,1.85E-05,1.63572E+18,Gaia DR2 511264218210327424,5.11264E+17,216539232,2015.5,26.52554751,0.018589723,61.22755518,0.023087998,0.322406262,0.033866575,9.519896,7,VES,616,26.525537,61.227573,-2.48,-5.76,2,9.645,0.234,0.368,...,...,Saturated
34,3.20E-05,1.63572E+18,Gaia DR2 511220581340189440,5.11221E+17,1683562908,2015.5,27.09609626,0.015483212,61.26473481,0.018234284,0.353497988,0.028007058,12.621746,8,GG,110,27.096041,61.264717,-2.96,-3.82,2,9.704,0.168,0.149,...,...,Saturated
35,2.28E-05,1.63572E+18,Gaia DR2 511220031584305536,5.1122E+17,1425872543,2015.5,26.75087592,0.017809888,61.35657291,0.021327546,0.370972593,0.031005656,11.964675,9,GG,104,26.75083,61.356567,-2.56,-1.37,2,9.899,0.2,0.213,...,...,...
37,1.72E-05,1.63572E+18,Gaia DR2 511231679537036800,5.11232E+17,1398675262,2015.5,26.32647384,0.017857201,60.96918184,0.0197274,0.359364678,0.028805591,12.475518,10,GG,90,26.326494,60.969196,-4.48,2.9,2,10.255,0.226,0.278,...,...,...
38,6.70E-06,1.63572E+18,Gaia DR2 511240922306718208,5.11241E+17,135208261,2015.5,26.48375157,0.018096342,61.21257772,0.020605065,0.329889792,0.028131811,11.726575,11,GC,97,26.48374,61.212574,-1.35,4.68,1.5,10.262,0.266,0.321,-27.6,B2V,...
39,4.55E-06,1.63572E+18,Gaia DR2 511240166392491008,5.1124E+17,787239536,2015.5,26.44330404,0.01783445,61.15580529,0.020088226,0.294772685,0.029235447,10.082715,12,GG,95,26.443295,61.155804,-1.79,-1.36,2,10.321,0.198,0.228,-38.8,B1V,...
41,1.53E-05,1.63572E+18,Gaia DR2 511188695501755648,5.11189E+17,1557333615,2015.5,26.73986603,0.018596114,61.02790016,0.024635557,0.344242857,0.033537503,10.264415,13,GG,103,26.73987,61.027885,-5.86,0.82,2,10.359,0.189,0.233,...,...,...
44,0.002748753,1.63572E+18,Gaia DR2 511217729481955840,5.11218E+17,474810374,2015.5,26.58327977,0.014433861,61.23660686,0.017473251,0.319917658,0.024352281,13.137072,14,GG,98,26.584209,61.239319,-6.07,0.02,2,10.402,0.213,0.262,...,...,Blended
50,8.12E-06,1.63572E+18,Gaia DR2 511213193996592512,5.11213E+17,1478940668,2015.5,26.86152133,0.018200661,61.14559096,0.020415252,0.369601138,0.029040423,12.727127,15,GG,108,26.861519,61.145599,-3.74,-6.38,2,10.428,0.158,0.033,-11.3,B0-B1V,...
55,2.31E-05,1.63572E+18,Gaia DR2 511224567069806592,5.11225E+17,451373270,2015.5,26.91405608,0.016261692,61.30570902,0.019516401,0.320551068,0.028389341,11.291247,16,GG,109,26.914015,61.305721,-3.06,-0.88,2.79,10.734,0.292,0.298,-42.8,B1V,...
57,2.30E-05,1.63572E+18,Gaia DR2 511217488963795584,5.11217E+17,541228879,2015.5,26.64835981,0.019254044,61.22752253,0.023311517,0.304468995,0.030049123,10.132376,17,GG,101,26.648338,61.227543,-4.11,2.39,2,10.762,0.318,0.318,-54,B1V,...
59,1.26E-05,1.63572E+18,Gaia DR2 511217695122208640,5.11218E+17,1075658170,2015.5,26.62764399,0.018322799,61.24145138,0.022974887,0.370035726,0.03198542,11.568888,18,VES,620,26.627619,61.241455,-7.84,-1.38,2,10.824,0.165,0.196,-20.8,B1V,...
62,2.09E-05,1.63572E+18,Gaia DR2 511217729481954816,5.11218E+17,1676967853,2015.5,26.61212516,0.033726041,61.23643655,0.039595902,0.269444712,0.051718361,5.2098465,19,GG,99,26.612082,61.236439,-5.19,1.75,2,10.88,0.153,0.101,...,...,...
65,2.00E-05,1.63572E+18,Gaia DR2 511241712580840448,5.11242E+17,1582869391,2015.5,26.41506415,0.017137783,61.21642123,0.02198825,0.318675746,0.02993858,10.644318,20,GG,94,26.415096,61.216434,-2.4,3.04,2,10.923,0.191,0.238,-21.9,B2V,...
66,1.19E-05,1.63572E+18,Gaia DR2 511219584907760896,5.1122E+17,259622516,2015.5,26.76561346,0.016033431,61.29223405,0.019768286,0.335713699,0.027878463,12.042045,21,D01,34,26.765589,61.292236,-3.92,0.93,2,10.975,0.234,0.207,-11.3,...,...
70,1.96E-05,1.63572E+18,Gaia DR2 511240200752235136,5.1124E+17,853061039,2015.5,26.4075824,0.015951199,61.13307861,0.018484768,0.326402163,0.027689039,11.7881365,22,GG,93,26.40756,61.133095,0.63,-2.93,2,11.102,0.167,0.291,-34.9,B2V,...
73,7.86E-06,1.63572E+18,Gaia DR2 511217660762484096,5.11218E+17,1087122047,2015.5,26.61925211,0.018077529,61.23067105,0.021328611,0.318791921,0.029821706,10.689929,23,G,32,26.619238,61.230675,-4.15,2.47,2,11.338,0.125,0.203,-7.9,B3V,...
77,3.08E-05,1.63572E+18,Gaia DR2 511264252570065024,5.11264E+17,419641886,2015.5,26.5584367,0.013369037,61.22884127,0.016685183,0.30995767,0.024727528,12.534924,24,BG,114,26.558376,61.228851,-8.65,0.34,2,11.633,0.177,0.288,-10.4,B5V,...
78,4.65E-06,1.63572E+18,Gaia DR2 511216698689833600,5.11217E+17,804468551,2015.5,26.7483272,0.012118186,61.20820042,0.014290991,0.30339072,0.020537207,14.772736,25,VES,624,26.748318,61.208199,-5.21,2.7,2.59,12.032,0.227,0.215,-26.8,B5V,...
79,1.11E-05,1.63572E+18,Gaia DR2 511192509432680320,5.11193E+17,1447343487,2015.5,26.64526607,0.013109852,61.10770097,0.014346039,0.316111643,0.020222058,15.632022,26,L,613,26.645269,61.107712,-0.09,-0.27,2.59,12.126,0.163,0.071,-1.9,B5V,...
81,2.34E-05,1.63572E+18,Gaia DR2 511264527447966208,5.11265E+17,1302054217,2015.5,26.5086627,0.013590155,61.25058154,0.015465301,0.330217093,0.021141138,15.619646,27,SAN,28,26.508623,61.250595,-16.07,-34.09,3.95,12.388,0.262,0.253,-42.1,B5V,CCDgap
83,1.97E-05,1.63572E+18,Gaia DR2 511265347773502592,5.11265E+17,623619706,2015.5,26.44952779,0.011955429,61.27331622,0.014405062,0.344006987,0.019102296,18.008673,29,PKK,2,26.449562,61.273327,-0.43,-2.75,3.9,12.06,0.257,0.064,...,...,...
85,1.34E-05,1.63572E+18,Gaia DR2 511216904848308736,5.11217E+17,12877963,2015.5,26.6017165,0.013592253,61.17702094,0.014369501,0.300664765,0.020889245,14.393281,30,PKK,3,26.60169,61.177017,-1.7,-1.61,2.59,12.225,0.166,0.141,-7.3,B5-B7V,...
86,1.22E-05,1.63572E+18,Gaia DR2 511217970000133888,5.11218E+17,1236653145,2015.5,26.82302308,0.013224965,61.22155998,0.015666893,0.362820156,0.022895245,15.846966,31,PKK,4,26.823006,61.221569,-2.82,0.51,3.9,12.961,0.194,0.148,-6.5,B5-B7V,...
