b20151205csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,b20151205_oid,col1,col2
2,1.9049597293291064E-4,1635721458409799680,Gaia DR2 511193471505349504,511193471505349504,1507971102,2015.5,26.55304602369903,0.019918556236437186,61.13011406063104,0.022908143788448188,0.2840852783338407,0.032207446746627816,8.820484,-1.240552662251147,0.03389997574488963,-0.23276941043363839,0.048198681529369444,-0.54832464,-0.093406424,-0.65061325,0.43348965,0.056919664,0.41583195,-0.4801451,0.106052324,-0.048681945,-0.6675075,536,536,522,14,13.047032,1059.1786,0.0,0.0,31,true,324.88342,1.6484475222144448,0.004638501021025275,-0.03893829,61,17,0.03977263,0,66,false,529,888237.7728268884,246.88596184377,3597.7654,10.817042,62,514004.3871287723,556.8402155064146,923.07336,11.073971,62,552317.4179960772,345.52974582353175,1598.4656,10.406448,1.2004914,0,0.66752243,0.25692844,0.410594,,,0,,,,NOT_AVAILABLE,129.49614786027846,-1.0416094255508692,51.67407160105321,45.856857967369436,100001,6378.0,6316.5,6685.0,,,,,,,200111,16.907154,15.389933,17.237986,426.16107,350.5464,501.77576,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193471505349504,,2,26.55275,61.13024
3,1.6869952951022694E-4,1635721458409799680,Gaia DR2 511193570280071040,511193570280071040,390305944,2015.5,26.532856989852032,0.020276562394870266,61.15532910572476,0.023120358265112998,0.3383027135053583,0.031674931086005796,10.680456,-1.0894156687349477,0.03369081084837799,-0.44861732031286117,0.04827900159585,-0.5232329,-0.04802466,-0.6563789,0.41063032,0.046224184,0.3866874,-0.41846713,0.052003406,0.005800004,-0.6230043,504,504,482,22,10.592618,883.67017,0.0,2.5666147450109E-15,31,false,370.11588,1.6306814774138676,0.00474884793071905,-0.041349344,57,18,0.03937951,0,60,false,496,370361.0633811285,126.38291681187665,2930.4678,11.766803,56,207787.89023420733,251.64723129794956,825.711,12.057338,55,242736.84276612787,159.79422027465841,1519.059,11.299081,1.2164474,0,0.7582569,0.29053497,0.46772194,,,0,,,,NOT_AVAILABLE,129.4813106275391,-1.0190114550566718,51.6805509151264,45.883511059312305,100001,5846.563,5500.0,6482.7646,,,,,,,200111,10.996424,8.944009,12.425886,127.29173,108.53551,146.04796,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193570280071040,,10,26.53251,61.15535
4,2.66568919907678E-4,1635721458409799680,Gaia DR2 511216904848319104,511216904848319104,287383583,2015.5,26.612753680959262,0.01788244355638609,61.167197481512304,0.02155170121720559,0.4024078808427795,0.029280462653827617,13.743221,-1.0730206472733717,0.031535239307187594,-0.20848636219232183,0.04660606724144102,-0.4883813,-0.013487914,-0.59655887,0.37626,0.035760067,0.35838136,-0.4383857,0.11179146,-0.083780155,-0.6248974,538,538,522,16,8.305855,831.7977,0.0,0.0,31,false,285.8906,1.6168611763420895,0.004429153242092175,-0.017054167,61,18,0.038416844,0,66,true,541,1779971.2773960477,404.63939610155313,4398.9077,10.062333,63,956216.1649049796,489.3310328919518,1954.1294,10.399998,62,1195265.5533979954,737.5458168445732,1620.5984,9.568259,1.2087171,1,0.8317385,0.3376646,0.49407387,,,0,,,,NOT_AVAILABLE,129.5164817237103,-0.9992781896808164,51.736845291670335,45.87401932496347,100002,5791.0,5755.6665,5828.5,,,,,,,200111,20.689957,20.42458,20.944763,433.73868,382.7268,484.75055,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216904848319104,,17,26.61242,61.16741
5,2.575142492649662E-4,1635721458409799680,Gaia DR2 511240613069083392,511240613069083392,1047710839,2015.5,26.49761481450389,0.012958857422173049,61.180646920686165,0.01428454521735281,0.3048686234688494,0.01943080072077405,15.689967,-1.0982097189742541,0.02271014789622033,-0.2129710032016205,0.029760599714585147,-0.55924726,0.116723925,-0.6156625,0.41197044,-0.024425812,0.39430845,-0.4467456,0.037380695,-0.038152147,-0.68249726,465,0,463,2,-4.3454623,338.12463,0.0,0.0,31,true,123.13493,1.6139918517629344,0.0028472677280473482,-0.016670467,55,19,0.043992225,0,61,false,479,97381.28920278406,29.47727421443948,3303.6057,13.217177,58,53491.71661781504,62.79564542331186,851.838,13.530672,53,65584.04809230343,55.343879626496395,1185.0281,12.719924,1.2227787,0,0.8107481,0.31349468,0.49725342,,,0,,,,NOT_AVAILABLE,129.45937095610373,-0.9978305245279006,51.678172419248874,45.91395924491825,100001,5985.6665,5804.0,6343.0,,,,,,,200111,5.950529,5.298967,6.3288646,40.950195,33.792313,48.108078,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240613069083392,,23,26.49715,61.18052
6,2.233143110664338E-4,1635721458409799680,Gaia DR2 511240613069082624,511240613069082624,495950536,2015.5,26.51438787066738,0.017100783461357263,61.182906432122806,0.02027307967689753,0.33437794063196064,0.031121502888772534,10.744273,-1.1306074607152665,0.030881243497816575,-0.2404707546182648,0.04357062814949997,-0.4713428,-0.002876414,-0.5266803,0.301867,0.08120979,0.26097438,-0.31057438,0.046720814,-0.0670129,-0.65883845,487,346,483,4,3.28649,586.2224,0.0,0.0,31,true,180.43575,1.6027929682171949,0.004165995474492304,-0.01937586,55,18,0.038639262,0,60,false,511,132380.2808060131,90.2599527942028,1466.6558,12.883807,58,71159.29377662191,188.90208932221566,376.69934,13.220809,57,91521.90013852638,170.87722443985257,535.60034,12.358108,1.2288929,0,0.8627014,0.3370018,0.5256996,,,0,,,,NOT_AVAILABLE,129.4668024186232,-0.9939234558463206,51.689818607258886,45.911764045442425,100001,5635.25,5409.97,6216.395,,,,,,,200111,7.209911,5.9248734,7.8228774,47.22884,39.593285,54.864395,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240613069082624,,25,26.51397,61.18281
7,1.5104921124815192E-4,1635721458409799680,Gaia DR2 511217179726196352,511217179726196352,1470924493,2015.5,26.55762229145378,0.01885561751809845,61.19362687571529,0.022139877830909007,0.3159840141288286,0.03127905750451209,10.102095,-1.0738073439102516,0.03246763211606401,-0.23413274852886393,0.04681825040281822,-0.5004878,0.080766045,-0.5920451,0.3475331,-0.014741806,0.33351168,-0.38724768,0.09133998,-0.1290613,-0.6340783,515,497,508,7,5.664744,704.0789,0.0,0.0,31,true,216.7199,1.6253003889920363,0.004476966187687502,-0.03158746,58,18,0.038317997,0,64,false,524,156494.69907411578,28.72366730714586,5448.284,12.702117,60,88043.6362860251,132.0468392606477,666.7606,12.989643,55,102736.88311295309,74.0747525617987,1386.9352,12.232604,1.2190862,0,0.75703907,0.28752613,0.46951294,,,0,,,,NOT_AVAILABLE,129.48491830045552,-0.9790579582404466,51.72343245810602,45.91031890314648,100001,5857.6333,5546.6665,6329.975,1.8753,1.5554,2.0291,0.9483,0.7673,1.0261,200111,7.6218305,6.52679,8.500403,61.617203,51.876785,71.35762,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217179726196352,,27,26.55731,61.19364
8,1.876540509142299E-4,1635721458409799680,Gaia DR2 511264115131118464,511264115131118464,310315886,2015.5,26.534393111566438,0.011597829875107907,61.194693794102044,0.014806789013841411,0.35886645856744415,0.020813407394601365,17.24208,-1.1225913972759363,0.01995572306071625,-0.06602246559115982,0.0307035407740537,-0.4020189,0.07423942,-0.5641743,0.35448474,0.041524164,0.29924163,-0.35328066,0.038287167,-0.019963205,-0.610665,443,0,441,2,-7.776733,243.86183,0.0,0.0,31,true,97.6612,1.6059270490064133,0.0028450074462829864,-0.015552946,51,18,0.04113003,0,61,false,487,77356.42442443734,11.263592904281925,6867.8286,13.467125,41,41953.489294593994,76.3422955935405,549.5445,13.794468,38,52880.712882732056,39.966675900003914,1323.1201,12.953677,1.2259383,0,0.84079075,0.327343,0.51344776,,,0,,,,NOT_AVAILABLE,129.47375020063407,-0.9803722967534799,51.71039255069051,45.9169603541376,100001,5664.0,5163.0,5814.543,,,,,,,200111,5.0776505,4.8181257,6.110898,23.906351,20.184853,27.62785,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264115131118464,,29,26.53402,61.19464
9,1.8499815023928138E-4,1635721458409799680,Gaia DR2 511264115126402176,511264115126402176,1225018513,2015.5,26.529046237117182,0.042639799257775474,61.197529041340175,0.037646405043037415,0.30029315756557845,0.053560464526161894,5.60662,-1.0043839825268555,0.05992206147685867,-0.22512998455959185,0.0689692856956182,-0.47398442,0.20196506,-0.7513924,0.23305227,0.051051915,0.27767146,-0.32445863,-0.2169565,0.003789511,-0.504174,256,256,250,6,5.2866354,380.7507,0.0,0.0,31,true,270.24155,1.6034355788101957,0.008332229678587162,-0.07039284,29,12,0.05159266,0,31,true,268,1409380.8240466,312.4183133083812,4511.1978,10.315795,28,740420.8044714594,655.1699155836988,1130.1202,10.677691,31,974909.1932771124,958.0637032286527,1017.5828,9.78951,1.2170806,1,0.8881817,0.3618965,0.5262852,,,0,,,,NOT_AVAILABLE,129.470634693955,-0.9781425304678898,51.7092955545734,45.92071441854245,100002,5767.9434,5484.0,6262.3633,1.575,1.1346,2.0941,0.696,0.5257,1.002,200111,24.88624,21.111774,27.53001,617.5857,468.80508,766.36633,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264115126402176,,31,26.52869,61.19746
10,1.8574466087258095E-4,1635721458409799680,Gaia DR2 511264115131117952,511264115131117952,879538172,2015.5,26.534496910379737,0.018680730521405436,61.20412031636354,0.02289785222404353,0.3021563535717822,0.03207130129235584,9.421393,-1.0101263695941012,0.03344689225995075,-0.1495267970778702,0.0494474331156893,-0.40057656,0.03621247,-0.5284583,0.33044678,-0.026817556,0.3051456,-0.40822855,0.08039247,-0.024801064,-0.559122,424,424,417,7,1.1487188,445.15964,0.0,0.0,31,true,291.3938,1.5998757043231204,0.005054357312912605,-0.015086356,48,18,0.03862219,0,58,true,444,203139.96106405836,42.62353233313228,4765.911,12.418878,50,110633.5518168704,200.3836880442015,552.1086,12.741671,47,137882.5836656161,87.89554730101642,1568.7096,11.913146,1.2233739,0,0.8285246,0.322793,0.5057316,,,0,,,,NOT_AVAILABLE,129.4718151287827,-0.9711463330948119,51.71738651464795,45.925034399655566,100001,5661.75,5504.4507,5774.3335,1.844,1.4697,2.0059,0.927,0.765,1.028,200111,9.781283,9.403585,10.348306,88.57051,73.8369,103.30412,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264115131117952,,36,26.53414,61.20405
12,1.7218799693129557E-4,1635721458409799680,Gaia DR2 511264149490855808,511264149490855808,1620754608,2015.5,26.54046654815067,0.018657796732357294,61.20595806369092,0.021898330289841877,0.3005332234161247,0.02944745501647085,10.205746,-1.1280718427662846,0.03303621885816887,-0.1870554691084548,0.04620092670191983,-0.48319656,0.05722148,-0.5846257,0.3749379,0.067036994,0.35352635,-0.4199827,0.09493806,-0.09504488,-0.64818424,472,429,463,9,4.9728794,624.7746,0.0,0.0,31,true,224.06734,1.6111630365428926,0.004649401810325398,-0.017236823,53,19,0.03982171,0,58,true,496,159652.24663245433,404.73787682074607,394.45837,12.6804285,48,88457.71899346446,643.3678981494265,137.49165,12.984549,47,106976.82052111448,1006.3338088145962,106.30351,12.188696,1.2241265,0,0.79585266,0.30412006,0.4917326,,,0,,,,NOT_AVAILABLE,129.47423968377203,-0.9687445299621545,51.722289967545755,45.92514236342002,100001,6022.0,5781.0,6564.28,1.9933,1.618,2.1571,0.9797,0.7779,1.0886,200111,7.630852,6.4221487,8.280348,68.992805,57.785282,80.200325,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264149490855808,,38,26.54013,61.2059
13,1.7667147729292536E-4,1635721458409799680,Gaia DR2 511217282805390464,511217282805390464,627619714,2015.5,26.606689421387166,0.0184974775499592,61.20899793401235,0.023010114397183735,0.3707582131839284,0.03142902859081894,11.79668,-1.4271800647822108,0.03263365872710961,-0.31112442892232317,0.04685405289535782,-0.38935518,-6.910369E-4,-0.58342457,0.31856808,0.015318955,0.2504359,-0.33979827,0.08932299,0.051180113,-0.60909086,451,451,447,4,3.7567177,562.5847,0.0,2.6901064090924424E-15,31,false,309.38202,1.6222297168490236,0.005309104228118184,-0.031558532,51,17,0.037376225,0,60,false,463,217331.56342154826,34.89355032223469,6228.4165,12.345559,54,120684.2624161761,188.75926986725793,639.3554,12.647262,50,144698.23492579427,72.58268653774554,1993.5641,11.860762,1.2210951,0,0.7865,0.3017025,0.48479748,,,0,,,,NOT_AVAILABLE,129.5047797800472,-0.9590423371816778,51.76392408571253,45.91144407615027,100001,5912.6665,5798.0,6340.033,,,,,,,200111,7.5030127,6.525584,7.80272,61.98686,53.69587,70.27785,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217282805390464,,39,26.60639,61.2091
14,2.3514044565554494E-4,1635721458409799680,Gaia DR2 511217454604082944,511217454604082944,226331060,2015.5,26.651221195423037,0.01210461649274797,61.20698882256367,0.014407665119730963,0.2290643408521026,0.022321983022174592,10.261827,-1.1426133795901423,0.021937353582808544,-0.1613731879459513,0.03135512390567834,-0.4875293,-0.03927324,-0.48048303,0.26234007,0.10043272,0.24192658,-0.3004601,-0.020070797,0.07720318,-0.6618283,482,9,482,0,-5.9005938,316.46756,0.0,1.823253510052564E-15,31,false,96.573906,1.6039131302057754,0.002930838862282162,-0.060388546,55,17,0.041307792,0,60,false,499,75367.33636299016,26.86418104397508,2805.4954,13.495408,47,40511.15767292854,68.02221102006926,595.5578,13.832452,49,52641.4274697384,46.710909647622614,1126.9622,12.958601,1.2359809,0,0.8738508,0.33704376,0.53680706,,,0,,,,NOT_AVAILABLE,129.52616945006346,-0.9564618666240771,51.788943078697315,45.89875705666288,100001,5579.5,5400.0,5925.6973,,,,,,,200111,8.119848,7.1987906,8.668639,57.56674,42.97731,72.156166,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217454604082944,,40,26.65091,61.20717
15,1.940255123489548E-4,1635721458409799680,Gaia DR2 511217282805392640,511217282805392640,143348797,2015.5,26.6152892842913,0.017447203636088662,61.207065680690036,0.021958150161386213,0.36237418351957534,0.03178002804633107,11.4025755,-1.1096755718498155,0.0313319572620458,-0.15757249536589432,0.04515706021572644,-0.41687548,-0.011458029,-0.55277395,0.28059363,0.045589905,0.26445368,-0.40874496,0.11608974,-0.019622725,-0.6005939,543,543,525,18,9.857474,906.1084,0.0,0.0,31,false,317.24515,1.5701130981811795,0.004209422117216395,0.0035512997,62,18,0.035892423,0,67,false,570,1432619.2913948144,4142.991486696358,345.79346,10.2980385,58,729709.2019409569,5786.314074832749,126.109505,10.693514,57,1051483.1887520035,10302.902721301212,102.056984,9.707415,1.2433118,0,0.98609924,0.3954754,0.59062386,,,0,,,,NOT_AVAILABLE,129.50923742968254,-0.9600544440350963,51.767621163832885,45.90766622224225,100001,5298.25,5150.0,5365.0,,,,,,,200111,25.215193,24.591654,26.687798,451.38705,389.14337,513.63074,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217282805392640,,41,26.61498,61.20719
16,2.602744283052409E-4,1635721458409799680,Gaia DR2 511264183850593792,511264183850593792,1379267616,2015.5,26.497122484141652,0.019157446998682114,61.2126723271177,0.02298945394048205,0.3379360065617801,0.030937847734495837,10.923061,-0.970739287891558,0.03212808545658273,-0.3180941605065627,0.046561522390054164,-0.5453789,0.062255148,-0.5805955,0.37320006,0.0784919,0.3739809,-0.42108068,0.067446545,-0.12854376,-0.6562002,491,491,479,12,4.291888,618.0102,0.0,0.0,31,true,332.2023,1.5786729819798708,0.004702064856667681,-0.030339016,56,17,0.038345095,0,64,true,531,1269921.105398949,4074.5204363206017,311.67377,10.428924,55,641223.005554107,4762.27274669518,134.64642,10.833865,59,909641.3223094958,10815.723759558623,84.1036,9.864744,1.2212288,0,0.969121,0.40494156,0.5641794,,,0,,,,NOT_AVAILABLE,129.45241662983886,-0.9665681752462724,51.70144406490565,45.94159375542155,100001,5366.0,5337.75,5731.645,,,,,,,200111,24.706348,21.65466,24.968557,455.94717,389.71896,522.1754,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264183850593792,,42,26.4967,61.21251
17,1.8369811594201287E-4,1635721458409799680,Gaia DR2 511217656456656000,511217656456656000,390415729,2015.5,26.626011476011044,0.018630142453514676,61.216575998026116,0.022349031780575963,0.2948701671377107,0.030616239367531235,9.631168,-1.074504776759071,0.03258601563522832,-0.1662151695007868,0.047936871199272466,-0.3811699,-0.006821247,-0.588981,0.33355537,-0.051619604,0.2851762,-0.36942345,0.08776862,0.0021656714,-0.53430486,458,452,441,17,7.69118,703.91864,0.0,0.0,31,false,350.72974,1.5997963121197714,0.004596448278420456,-0.016384961,53,18,0.037984967,0,61,false,462,271600.483312686,74.23464980757616,3658.6753,12.103539,52,146604.98873353857,273.3156874733326,536.39435,12.436016,49,185644.17398254038,180.58753807970362,1028.001,11.590217,1.223301,0,0.84579945,0.33247662,0.51332283,,,0,,,,NOT_AVAILABLE,129.51227062281774,-0.9496664541562669,51.78098574353779,45.91320153826908,100001,5666.4,5017.0,5835.0,,,,,,,200111,11.568428,10.909556,14.757086,124.30034,103.67633,144.92435,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217656456656000,,46,26.62573,61.2167
18,2.4915441630140233E-4,1635721458409799680,Gaia DR2 511264218210331008,511264218210331008,607905333,2015.5,26.510057165015986,0.02194068855239066,61.22065065709614,0.027639690203772074,0.3258232306707493,0.034401670247429135,9.471146,-1.1439672191186063,0.03617431834845621,-0.26615941917965796,0.05208974706106582,-0.6140747,-0.014023019,-0.57120955,0.37675357,0.173783,0.36000904,-0.41433802,-0.08221635,0.06291972,-0.69705385,455,455,441,14,8.322051,729.86945,0.0,0.0,31,true,386.52515,1.5854772139233555,0.004971825612542662,-0.003643853,51,17,0.042024568,0,58,false,456,372520.23115759273,107.14394133773139,3476.8203,11.760491,45,194989.74997501273,237.1434108189097,822.244,12.126359,46,261873.38150810794,179.9456928726951,1455.2911,11.216692,1.2264116,1,0.909667,0.3658676,0.5437994,,,0,,,,NOT_AVAILABLE,129.45683124714387,-0.957460003127241,51.715011486608624,45.945259147255015,100002,5474.0,5138.16,5991.9326,2.161,1.8856,2.4526,1.095,0.9416,1.247,200111,13.253044,11.060924,15.042151,142.084,119.10554,165.06247,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264218210331008,,47,26.50963,61.22051
19,2.5309911138838345E-4,1635721458409799680,Gaia DR2 511217488963802240,511217488963802240,502121873,2015.5,26.672625527656642,0.03930970170572753,61.22087515156568,0.05418069645384751,0.31595126957470065,0.060022518479861287,5.263879,-1.060843502395235,0.05792867181550729,-0.14296040746650507,0.09865040005748843,-0.5478042,0.23081233,-0.71677697,0.44112235,-0.07475047,0.4610993,-0.6690032,-0.1406397,0.13403961,-0.5958243,285,285,261,24,16.605888,844.08875,0.09487105835571448,3.7760466867794324,31,false,78.24913,1.5933667444012936,0.008985981039494878,0.0053451974,32,12,0.06825953,0,39,true,302,804958.0580505789,705.7363830331097,1140.5931,10.923933,33,424234.4381799555,891.7197616618571,475.7486,11.282373,31,546317.9795098557,452.77604522223106,1206.5964,10.418306,1.205718,0,0.8640671,0.3584404,0.5056267,,,0,,,,NOT_AVAILABLE,129.53329352555775,-0.9407034733745511,51.81186974183225,45.90542968765201,100001,5686.3335,5543.0,5994.0874,,,,,,,200111,18.443102,16.597876,19.409256,320.3996,240.34448,400.4547,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217488963802240,,48,26.67229,61.22107
20,1.0565662035061958E-4,1635721458409799680,Gaia DR2 511217660762493568,511217660762493568,461441555,2015.5,26.61796255336389,0.010618503396747298,61.22284929705805,0.012903616675759446,0.29984189922185583,0.017794852141591235,16.849924,-0.9290960651653861,0.01908005784968005,-0.2573471616741223,0.027354947940709605,-0.49079466,-0.016532334,-0.5370266,0.33880645,0.046845313,0.31653503,-0.36594722,0.10663407,-0.06772205,-0.62496823,502,0,501,1,-4.90921,356.3547,0.0,0.0,31,true,119.4582,1.558445285149642,0.0025621944913825144,-0.007675289,58,19,0.03929502,0,62,false,527,94050.7440017092,19.106443646947696,4922.462,13.25496,49,46721.84501680754,66.68714767558868,700.6124,13.677588,45,69901.99047894981,42.26502061011713,1653.897,12.650696,1.2400097,1,1.0268927,0.4226284,0.60426426,,,0,,,,NOT_AVAILABLE,129.5071542272045,-0.9443560042165522,51.7808073547587,45.92057417888913,100002,5141.3335,5102.5,5232.013,,,,,,,200111,8.395642,8.107142,8.523921,44.371655,36.93979,51.80352,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217660762493568,,49,26.61777,61.2229
